Organisation Name,Effective Date,Property ID,Property Type,Property Name,Property Name/Address (Where no UPRN),Street Number,Street,Town / Post Town,Postcode,Ward,Geo X (Easting),Geo Y (Northing),Tenure Type,Vacant,Holding Type,Building Size - GIA (M2),Site Area (Hectares),Occupied by Council / Direct Service Property,Purpose / Asset Category,EPC Rating,Council Tax,Key Features,Property Rent/Sale History,Base Price,New Price
"Bristol, City of",7/1/2022,123739,Land-Community Development,South Bristol Skills Academy Site,South Bristol Skills Academy Site Hengrove Park Phase 1 The Boulevard Whitchurch Lane Hengrove Bristol BS14 0DB,,,,BS14 0DB,Hengrove & Whitchurch Park,359436.0,168152.0,Freehold Reversion,,Land only,,2.232746,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2020, 2021, 2022, 2023, 2024",,
"Bristol, City of",7/1/2022,138350,Land/Bldgs held for Developement,Former Speedwell Fire Station,Former Speedwell Fire Station Speedwell Road Speedwell Bristol BS5 7SY,,Speedwell Road,Bristol,BS5 ,Eastville,363264.0,174375.0,Freehold,Vacant,Land and Building(s),,0.395809,Yes,Direct Service,,,,"2014, 2016, 2018, 2020, 2021",,
"Bristol, City of",7/1/2022,54415,Community Centre/Facilities,Polden House Community Room,Polden House Community Room Polden House Alfred Road Bedminster Bristol BS3 4LF,,Alfred Road,Bristol,BS3 4LF,Windmill Hill,358823.0,171281.0,Freehold,,Land and Building(s),,0.0,Yes,Direct Service,,,,"2011, 2016, 2017, 2018, 2021",,
"Bristol, City of",7/1/2022,9052,Offices,Wyndham Court,Wyndham Court 12-20 Pritchard Street St Pauls Bristol BS2 8RH,12.0,Pritchard Street,Bristol,BS2 8RH,Ashley,359413.0,173588.0,Freehold Reversion,,Land and Building(s),2750.0,0.118106,,Investment Properties,C,1400.0,"Modern Kitchen, Meeting Rooms","2010, 2011, 2015, 2016, 2021, 2024",507307.52,
"Bristol, City of",7/1/2022,120952,Childrens Centre,Brentry And Henbury Childrens Centre,Brentry And Henbury Childrens Centre Brentry Lane Brentry Bristol BS10 6RG,,Brentry Lane,Bristol,BS10 6RG,Henbury & Brentry,357671.0,179503.0,Freehold,,Land and Building(s),,0.462971,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2016, 2021, 2023, 2024",,
"Bristol, City of",7/1/2022,88215,Library,Bedminster Library,Bedminster Library 3 St Peters Court Bedminster Parade Bristol BS3 4AQ,,Bedminster Parade,Bristol,BS3 4AQ,Southville,358832.0,171865.0,Leasehold,,Building(s) only,406.5,0.051909,Yes,Direct Service,E,1800.0,,"2010, 2013, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,54003,Community Centre/Facilities,Butler House Community Room,Butler House Community Room Summerhill Road St George Bristol BS5 8HQ,,Summerhill Road,Bristol,BS5 8HQ,St George Central,362679.0,173636.0,Freehold,,Land and Building(s),,0.0448,Yes,Direct Service,,,,"2016, 2021, 2024",,
"Bristol, City of",7/1/2022,122258,Primary School,Horfield CE VC Primary School Playing Fields,Horfield CE VC Primary School Playing Fields Bishop Manor Road Bristol BS10 5BD,,Bishop Manor Road,Bristol,BS10 5BD,Horfield,358821.0,177296.0,Freehold,,Land only,,0.903703,Yes,Direct Service,,,,"2013, 2016, 2021, 2022, 2023",,
"Bristol, City of",7/1/2022,123333,Offices,Victoria Park Lodge,Victoria Park Lodge Victoria Park Somerset Terrace Bristol BS3 4LL,,Somerset Terrace,Bristol,BS3 4LL,Windmill Hill,359103.0,171392.0,Freehold,,Land and Building(s),288.9,0.007954,Yes,Surplus / Non-operational / Under Review,C,1400.0,"Meeting Rooms, Modern Kitchen","2012, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,132733,Day Nursery,Abbeywood Tots Nursery,Abbeywood Tots Nursery Stockwood Lane Stockwood Bristol BS14 8SJ,,Stockwood Lane,Bristol,BS14 8SL,Stockwood,362181.0,167903.0,Freehold,,Land and Building(s),,0.143615,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2014, 2015, 2016, 2017, 2020, 2021",,
"Bristol, City of",7/1/2022,850,Land-Unused Land,Site Of Novers Lane Infant School,Site Of Novers Lane Infant School Novers Lane Knowle West Bristol BS4 1QW,,,,BS4 ,Filwood,358360.0,169468.0,Freehold,Vacant,Land only,,1.093139,,Surplus / Non-operational / Under Review,,,,"2016, 2019, 2021, 2022, 2024, 2025",,
"Bristol, City of",7/1/2022,124452,Community Centre/Facilities,Collinson Road Community Room,Collinson Road Community Room 14 Collinson Road Hartclffe Bristol BS13 9PT,14.0,Collinson Road,Bristol,BS13 9PT,Hartcliffe & Withywood,357784.0,168162.0,Freehold,,Land and Building(s),,0.03626,Yes,Direct Service,,,,"2012, 2013, 2015, 2016, 2017, 2018, 2021",,
"Bristol, City of",7/1/2022,124674,Land-Amenity,Amenity Land Around Hayleigh House,Amenity Land Around Hayleigh House Silcox Road Hartcliffe Bristol BS13 0JQ,,,,BS13 0JQ,Hartcliffe & Withywood,358361.0,167690.0,Freehold,,Land only,,0.02714,Yes,Direct Service,,,,"2014, 2016, 2018, 2020, 2021, 2024, 2025",,
"Bristol, City of",7/1/2022,138528,Shop/Kiosk,134 Walsh Avenue,134 Walsh Avenue Loxton Square Hengrove Bristol BS14 9SH,134.0,Walsh Avenue,Bristol,BS14 9SH,Hengrove & Whitchurch Park,360413.0,168882.0,Leasehold,,Building(s) only,,0.022912,,Investment Properties,,,,"2010, 2016, 2018, 2019, 2021, 2025",,
"Bristol, City of",7/1/2022,128145,Library,Whitchurch Library,Whitchurch Library Unit 7 Whitchurch District Centre Oatlands Avenue Bristol BS14 0SX,,Oatlands Avenue,Bristol,BS14 0SX,Hengrove & Whitchurch Park,360329.0,168488.0,Leasehold,,Building(s) only,305.85,0.028929,Yes,Direct Service,G,2200.0,,"2014, 2016, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,138352,Primary School,Oasis Academy Marksbury Road,Oasis Academy Marksbury Road Marksbury Road Bedminster Bristol BS3 5JL,,Marksbury Road,Bristol,BS3 5JL,Filwood,359051.0,170743.0,Freehold,,Land and Building(s),,0.562474,,Indirect Service / Non-Investment Letting(s),,,,"2016, 2017, 2020, 2021",,
"Bristol, City of",7/1/2022,138414,Primary School,Filton Avenue Primary School,Filton Avenue Primary School Lockleaze Road Horfield Bristol BS7 9RP,,Lockleaze Road,Bristol,BS7 9RP,Lockleaze,360113.0,177097.0,Freehold,,Land and Building(s),3680.0,1.722775,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2013, 2016, 2017, 2021, 2022, 2023",710534.62,
"Bristol, City of",7/1/2022,498,Primary School,Willow Park CE VC School - Playground No 2,Willow Park CE VC School - Playground No 2 Upper Church Lane St Michaels Bristol,,Park Lane,Bristol,BS2 8BE,Central,354890.0,173280.0,Leasehold,,Land only,,0.062923,Yes,Direct Service,,,,"2013, 2016, 2017, 2021, 2022",,
"Bristol, City of",7/1/2022,138399,Land-Residential,Land At Rear Of 38-42 Lampton Avenue,Land At Rear Of 38-42 Lampton Avenue Lampton Avenue Hartcliffe Bristol BS13 0PZ,,,,BS13 0PZ,Hengrove & Whitchurch Park,359076.0,167320.0,Freehold,,Land only,,0.090229,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2013, 2016, 2020, 2021, 2023, 2024",,
"Bristol, City of",7/1/2022,39873,Land-Residential,37 Morris Road - Land Adj,37 Morris Road - Land Adj Lockleaze Bristol BS7 9TT,37.0,Morris Road,Bristol,BS7 9TT,Lockleaze,360276.0,176088.0,Freehold,,Land only,,0.003217,Yes,Direct Service,,,,"2015, 2016, 2019, 2021, 2025",,
"Bristol, City of",7/1/2022,116240,Offices,Unit 5-6 Brunel Lock Development,Unit 5-6 Brunel Lock Development Smeaton Road Hotwells Bristol BS1 6SE,,Smeaton Road,Bristol,BS1 6SE,Hotwells & Harbourside,356783.0,172248.0,Leasehold,,Land and Building(s),412.0,0.067738,Yes,Direct Service,B,1200.0,"Modern Kitchen, Meeting Rooms","2012, 2014, 2016, 2018, 2021, 2022, 2025",291200.0,
"Bristol, City of",7/1/2022,138841,Land/Bldgs held for Developement,Site Of Former Brunel Ford Garage,Site Of Former Brunel Ford Garage Muller Road Horfield Bristol,,Muller Road,Bristol,BS7 9ND,Lockleaze,359910.0,176178.0,Freehold,,Land only,,0.483702,Yes,Direct Service,,,,"2012, 2016, 2017, 2021, 2024",,
"Bristol, City of",7/1/2022,250,Community Centre/Facilities,Manor Farm Boys Club,Manor Farm Boys Club Wellington Hill Horfield Bristol BS7 8ST,,Wellington Hill,Bristol,BS7 8ST,Horfield,359138.0,176748.0,Freehold,,Land and Building(s),355.0,0.104765,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2012, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,139061,Land-Unused Land,Knighton Road - Land Adjoining 82,Knighton Road - Land Adjoining 82 Southmead Bristol BS10 5SF,,,,BS10 5SF,Southmead,359295.0,178581.0,Freehold,,Land only,,0.01485,,Surplus / Non-operational / Under Review,,,,"2010, 2016, 2020, 2021, 2023",,
"Bristol, City of",7/1/2022,139072,Nursery School,Ilminster Avenue Specialist Nursery School And Childrens Centre,Ilminster Avenue Specialist Nursery School And Childrens Centre Ilminster Avenue Knowle  Bristol BS4 1BX,10.0,Throgmorton Road,Bristol,BS4 1HR,Knowle,360067.0,169844.0,Freehold,,Land and Building(s),1373.9,0.759828,Yes,Direct Service,F,2000.0,,"2011, 2013, 2015, 2016, 2021, 2024, 2025",638439.4,
"Bristol, City of",7/1/2022,663,Special School,Meriton Centre,Meriton Centre Meriton Street St Philips Marsh Bristol BS2 0SU,,Meriton Street,Bristol,BS2 0SZ,Lawrence Hill,360531.0,172212.0,Freehold,,Land and Building(s),404.8,0.079199,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2010, 2015, 2016, 2018, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,4569,Sports Building/Hall/Facility,Durdham Down Dressing Rooms,Durdham Down Dressing Rooms Stoke Road Stoke Bishop Bristol BS9 1FG,,Stoke Road,Bristol,BS9 1FG,Stoke Bishop,357096.0,175009.0,Management Agreement,,Building(s) only,692.0,0.062312,Yes,Direct Service,F,2000.0,,"2012, 2016, 2017, 2020, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,126894,Industrial/Workshop,Units 1 And 2 Little Ann Street,Units 1 And 2 Little Ann Street St Judes Bristol BS2 9EB,,,,BS2 9EB,Lawrence Hill,359881.0,173573.0,Freehold,,Land and Building(s),,0.099943,,Investment Properties,,,"Loading Dock, Security System","2016, 2021",,
"Bristol, City of",7/1/2022,126896,Industrial/Workshop,Unit 3 Little Ann Street,Unit 3 Little Ann Street St Judes Bristol BS2 9EB,,,,BS2 9EB,Lawrence Hill,359861.0,173553.0,Freehold,,Land and Building(s),,0.055254,,Investment Properties,,,"Security System, Loading Dock","2010, 2011, 2016, 2021",,
"Bristol, City of",7/1/2022,126897,Industrial/Workshop,Unit 4 Little Ann Street,Unit 4 Little Ann Street Little Ann Street St Judes Bristol BS2 9EB,,Little Ann Street,Bristol,BS2 9EB,Lawrence Hill,359855.0,173544.0,Freehold,,Land and Building(s),,0.05491,,Investment Properties,,,"Loading Dock, Storage Space","2010, 2015, 2016, 2017, 2020, 2021",,
"Bristol, City of",7/1/2022,126898,Industrial/Workshop,Unit 5 Little Ann Street,Unit 5 Little Ann Street St Judes Bristol BS2 9EB,,,,BS2 9EB,Lawrence Hill,359847.0,173535.0,Freehold,,Land and Building(s),,0.054977,,Investment Properties,,,"Loading Dock, Storage Space","2010, 2016, 2018, 2019, 2021, 2022",,
"Bristol, City of",7/1/2022,126899,Industrial/Workshop,Unit 6 Little Ann Street,Unit 6 Little Ann Street St Judes Bristol BS2 9EB,,,,BS2 9EB,Lawrence Hill,359839.0,173527.0,Freehold,,Land and Building(s),,0.057594,,Investment Properties,,,"Storage Space, Loading Dock","2011, 2016, 2017, 2019, 2021, 2022, 2025",,
"Bristol, City of",7/1/2022,128177,Special School,New Fosseway Special School BSF,New Fosseway Special School BSF Bridge Learning Campus Teyfant Road Bristol BS13 0RL,,Teyfant Road,Bristol,BS13 0RG,Hengrove & Whitchurch Park,359145.0,167730.0,Management Agreement,,Land and Building(s),,0.151713,,Indirect Service / Non-Investment Letting(s),,,,"2013, 2016, 2021, 2022, 2025",,
"Bristol, City of",7/1/2022,80502,Primary School,St Werburghs Primary School Academy - Silver Birch Annexe,St Werburghs Primary School Academy - Silver Birch Annexe Stafford Road St Werburghs Bristol BS2 9UR,,Mogg Street,Bristol,BS2 9UB,Ashley,360237.0,174713.0,Freehold Reversion,,Land and Building(s),1113.2,0.218607,Yes,Direct Service,G,2200.0,,"2013, 2016, 2019, 2021",506800.11,
"Bristol, City of",7/1/2022,4018,Offices,Brookland Hall,Brookland Hall Conduit Place Ashley Vale Bristol BS2 9RU,,Conduit Place,Bristol,BS2 9RU,Ashley,360147.0,174343.0,Informal Agreement,,Building(s) only,,0.036293,Yes,Direct Service,,,"Private Parking, Modern Kitchen","2011, 2012, 2016, 2017, 2021, 2023",,
"Bristol, City of",7/1/2022,253,Scout/Guide Building,Wellington Hill Scout Hut,Wellington Hill Scout Hut Rozel Road Horfield Bristol BS7 8SQ,,Rozel Road,Bristol,BS7 8SQ,Bishopston & Ashley Down,359165.0,176515.0,Freehold,,Land and Building(s),142.98,0.07495,,Indirect Service / Non-Investment Letting(s),F,2000.0,,"2012, 2016, 2018, 2021, 2022, 2024",291200.0,
"Bristol, City of",7/1/2022,38270,Offices,16 Henacre Road,16 Henacre Road Lawrence Weston Bristol BS11 0HD,16.0,Henacre Road,Bristol,BS11 0HD,Avonmouth & Lawrence Weston,353527.0,177726.0,Freehold,,Land and Building(s),,0.0152,Yes,Direct Service,,,"Meeting Rooms, Private Parking","2012, 2015, 2016, 2019, 2021, 2023, 2025",,
"Bristol, City of",7/1/2022,124711,E P Home/Dwellings,Redfield Lodge,Redfield Lodge Avonvale Road Redfield Bristol BS5 9RG,,Avonvale Road,Bristol,BS5 9RG,St George West,361617.0,173469.0,Freehold,,Land and Building(s),2254.5,0.524471,Yes,Direct Service,G,2200.0,,"2010, 2016, 2017, 2021, 2022",865037.28,
"Bristol, City of",7/1/2022,129484,Land-Unused Land,Land At Stile Acres,Land At Stile Acres Stile Acres Lawrence Weston Bristol,,Stile Acres,Bristol,BS11 ,Avonmouth & Lawrence Weston,354538.0,178451.0,Freehold,Vacant,Land only,,0.249744,,Surplus / Non-operational / Under Review,,,,"2011, 2016, 2020, 2021, 2023, 2025",,
"Bristol, City of",7/1/2022,129985,Primary School,St Ursulas Academy,St Ursulas Academy Brecon Road Westbury-on-Trym Bristol BS9 4DT,,,,BS9 4DT,Westbury-on-Trym & Henleaze,357443.0,176640.0,Freehold Reversion,,Land and Building(s),,2.866683,,Indirect Service / Non-Investment Letting(s),,,,"2011, 2012, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,128392,Land-Car/Lorry Park,Bottle Yard Studios - Car Park Adjoining,Bottle Yard Studios - Car Park Adjoining Whitchurch Lane Whitchurch Bristol  BS14 0BH,,,,BS14 0BH,Hengrove & Whitchurch Park,359554.0,168119.0,Freehold,,Land only,,2.025212,,Indirect Service / Non-Investment Letting(s),,,,"2010, 2016, 2021, 2023",,
"Bristol, City of",7/1/2022,87229,Statue/Monument/Fountain,Arnos Vale Cemetery - War Memorial,Arnos Vale Cemetery - War Memorial Bath Road Brislington Bristol BS4 3EW,,,,BS4 3EW,Knowle,360762.0,171584.0,Maintenance Obligation,,Structure,,0.002508,Yes,Heritage Assets,,,,"2012, 2016, 2018, 2021, 2024",,
"Bristol, City of",7/1/2022,127669,Offices,Amelia Court,Amelia Court Pipe Lane City Centre Bristol BS1 5AJ,,Pipe Lane,Bristol,BS1 5AJ,Central,358513.0,172955.0,Freehold,,Land and Building(s),28573.9,0.131335,,Investment Properties,A,1000.0,"Meeting Rooms, Private Parking","2014, 2016, 2017, 2020, 2021",6152224.55,
"Bristol, City of",7/1/2022,127651,Shop/Kiosk,14 The Arcade,14 The Arcade City Centre Bristol BS1 3JA,14.0,The Arcade,Bristol,BS1 3JA,Central,359068.0,173395.0,Leasehold,,Building(s) only,,0.004773,,Investment Properties,,,,"2015, 2016, 2017, 2021, 2022",,
"Bristol, City of",7/1/2022,128348,Sports Building/Hall/Facility,Hengrove Park Leisure Centre,Hengrove Park Leisure Centre Hengrove Promenade Hengrove Bristol BS14 0DE,,Hengrove Promenade,Bristol,BS14 0DE,Hengrove & Whitchurch Park,359419.0,168426.0,Freehold,,Land and Building(s),,1.332756,,Indirect Service / Non-Investment Letting(s),,,,"2012, 2016, 2018, 2021, 2025",,
"Bristol, City of",7/1/2022,330,Scout/Guide Building Land,Scout Resource Centre,Scout Resource Centre Gadshill Road Eastville Bristol BS5 6LJ,,Gadshill Road,Bristol,BS5 6LJ,Eastville,361451.0,175059.0,Freehold,,Land only,227.7,0.060926,,Indirect Service / Non-Investment Letting(s),G,2200.0,,"2012, 2013, 2016, 2017, 2019, 2021",291200.0,
"Bristol, City of",7/1/2022,10905,Shop/Kiosk,6-8 High Street,6-8 High Street Portishead North Somerset BS20 6EW,,,,BS20 6EW,Outside Bristol,346745.0,176588.0,Freehold,,Land and Building(s),258.6,0.013709,,Investment Properties,G,2200.0,,"2012, 2013, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,10664,Industrial/Workshop,Fourth Way - Unit 6,Fourth Way - Unit 6 Unit 6 Fourth Way Avonmouth Bristol BS11 8DL,,Fourth Way,Bristol,BS11 8DL,Avonmouth & Lawrence Weston,352962.0,178268.0,Freehold,,Land and Building(s),0.0,0.36693,,Investment Properties,A,1000.0,"Loading Dock, Storage Space","2010, 2011, 2012, 2016, 2017, 2021",291200.0,
"Bristol, City of",7/1/2022,10665,Industrial/Workshop,Unit 3 Fifth Way,Unit 3 Fifth Way Avonmouth Bristol BS11 8TD,,,,BS11 8TD,Avonmouth & Lawrence Weston,353185.0,178511.0,Freehold,,Land and Building(s),0.0,1.323998,,Investment Properties,B,1200.0,"Loading Dock, Storage Space","2012, 2014, 2016, 2020, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,10667,Industrial/Workshop,Unit 7 Avonmouth Way,Unit 7 Avonmouth Way First Way Avonmouth Bristol BS11 9YA,,,,BS11 9YA,Avonmouth & Lawrence Weston,352149.0,178382.0,Freehold,,Land and Building(s),0.0,0.376807,,Investment Properties,C,1400.0,"Loading Dock, Storage Space","2013, 2016, 2017, 2020, 2021, 2023",291200.0,
"Bristol, City of",7/1/2022,10668,Industrial/Workshop,Fourth Way - Unit 4,Fourth Way - Unit 4 Avonmouth Bristol BS11 8DP,,Fourth Way,Bristol,BS11 8DY,Avonmouth & Lawrence Weston,352843.0,178234.0,Freehold,,Land and Building(s),3500.0,0.86621,,Investment Properties,C,1400.0,"Loading Dock, Security System","2012, 2013, 2016, 2020, 2021",1378724.88,
"Bristol, City of",7/1/2022,10669,Industrial/Workshop,Unit 11 Fourth Way,Unit 11 Fourth Way Avonmouth Bristol BS11 8DP,,Fourth Way,Bristol,BS11 8DX,Avonmouth & Lawrence Weston,352877.0,178296.0,Freehold,,Land and Building(s),,0.406278,,Investment Properties,,,"Security System, Storage Space","2010, 2014, 2015, 2016, 2019, 2021",,
"Bristol, City of",7/1/2022,10670,Store/Depot/Warehouse,Fifth Way - Premises At,Fifth Way - Premises At Avonmouth Trading Estate Avonmouth Bristol BS11 8DT,,Fifth Way,Bristol,BS11 8DT,Avonmouth & Lawrence Weston,353317.0,178487.0,Freehold,,Land and Building(s),,0.887574,,Investment Properties,,,,"2012, 2016, 2017, 2018, 2021, 2023, 2025",,
"Bristol, City of",7/1/2022,10915,Offices,38-40 High Street,38-40 High Street Portishead North Somerset BS20 6EN,,,,BS20 6EN,Outside Bristol,346700.0,176440.0,Freehold,,Land and Building(s),200.0,0.054376,,Investment Properties,B,1200.0,"Private Parking, Meeting Rooms","2012, 2016, 2019, 2021, 2025",291200.0,
"Bristol, City of",7/1/2022,10916,Offices,46 High Street,46 High Street Portishead North Somerset BS20 6EL,,,,BS20 6EL,Outside Bristol,346695.0,176390.0,Freehold,,Land and Building(s),90.0,0.022069,,Investment Properties,A,1000.0,"Private Parking, Modern Kitchen","2013, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,10917,Shop/Kiosk,52 High Street,52 High Street Portishead North Somerset BS20 6EL,,,,BS20 6EL,Outside Bristol,346691.0,176369.0,Freehold,,Land and Building(s),100.0,0.016985,,Investment Properties,F,2000.0,,"2011, 2014, 2016, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,10918,Shop/Kiosk,54 High Street,54 High Street Portishead North Somerset BS20 6EL,,,,BS20 6EL,Outside Bristol,346691.0,176363.0,Freehold,,Land and Building(s),185.0,0.021045,,Investment Properties,E,1800.0,,"2010, 2012, 2015, 2016, 2021, 2023, 2025",291200.0,
"Bristol, City of",7/1/2022,10922,Shop/Kiosk,Essex House - 1,Essex House - 1 109 High Street Portishead North Somerset BS20 6PT,,,,BS20 6PT,Outside Bristol,346758.0,175964.0,Freehold,,Land and Building(s),250.0,0.020557,,Investment Properties,G,2200.0,,"2011, 2016, 2021, 2022",291200.0,
"Bristol, City of",7/1/2022,10633,Industrial/Workshop,Unit 2 First Way,Unit 2 First Way Avonmouth Bristol BS11 9EF,,Neale Way,Bristol,BS11 9FB,Avonmouth & Lawrence Weston,352083.0,178269.0,Freehold,,Land and Building(s),0.0,0.218944,,Investment Properties,A,1000.0,"Loading Dock, Security System","2016, 2021, 2023, 2024",291200.0,
"Bristol, City of",7/1/2022,10635,Industrial/Workshop,British Bakeries Premises,British Bakeries Premises Unit 3 Second Way Avonmouth Bristol BS11 8DQ,,Second Way,Bristol,BS11 8DQ,Avonmouth & Lawrence Weston,352570.0,178200.0,Freehold,,Land and Building(s),0.0,2.122361,,Investment Properties,A,1000.0,"Loading Dock, Security System","2013, 2016, 2019, 2020, 2021",291200.0,
"Bristol, City of",7/1/2022,10637,Industrial/Workshop,Units 1-10 Lescren Way,Units 1-10 Lescren Way Avonmouth Bristol BS11 8DG,,Lescren Way,Bristol,BS11 8DG,Avonmouth & Lawrence Weston,352766.0,178367.0,Freehold,,Land and Building(s),5000.0,1.085125,,Investment Properties,D,1600.0,"Security System, Storage Space","2011, 2014, 2016, 2020, 2021, 2025",1742539.46,
